iter	Passed	Remaining
0	0	627
1	1	593
2	1	577
3	2	559
4	2	551
5	3	545
6	3	538
7	4	534
8	4	532
9	5	529
10	5	525
11	6	524
12	6	522
13	7	521
14	7	518
15	8	514
16	8	512
17	9	508
18	9	505
19	10	503
20	10	502
21	11	499
22	11	498
23	12	497
24	12	495
25	13	493
26	13	492
27	14	490
28	14	489
29	15	488
30	15	487
31	16	486
32	16	485
33	17	484
34	17	483
35	18	482
36	18	481
37	19	481
38	19	480
39	19	479
40	20	479
41	20	478
42	21	478
43	21	477
44	22	476
45	22	475
46	23	474
47	23	474
48	24	473
49	24	473
50	25	472
51	25	472
52	26	471
53	26	470
54	27	470
55	27	469
56	28	469
57	28	470
58	29	471
59	30	472
60	30	472
61	31	471
62	31	471
63	32	471
64	32	471
65	33	470
66	33	470
67	34	469
68	34	468
69	35	468
70	35	468
71	36	467
72	36	467
73	37	466
74	37	466
75	38	466
76	38	465
77	39	465
78	39	464
79	40	464
80	40	463
81	41	463
82	41	460
83	42	459
84	42	459
85	43	458
86	43	458
87	44	457
88	44	457
89	45	457
90	45	456
91	46	456
92	46	455
93	47	455
94	47	454
95	48	454
96	48	453
97	49	453
98	49	452
99	50	452
100	50	451
101	51	451
102	51	450
103	52	450
104	52	449
105	53	449
106	53	448
107	54	448
108	54	447
109	55	447
110	55	446
111	56	446
112	56	445
113	57	445
114	57	446
115	58	445
116	58	444
117	59	444
118	59	443
119	60	443
120	60	442
121	61	441
122	61	441
123	62	440
124	62	440
125	63	439
126	63	438
127	64	437
128	64	437
129	65	436
130	65	435
131	66	435
132	66	434
133	67	434
134	67	433
135	68	432
136	68	432
137	69	431
138	69	431
139	70	430
140	70	430
141	70	428
142	71	428
143	72	428
144	72	428
145	73	428
146	73	427
147	74	427
148	74	427
149	75	426
150	75	426
151	76	425
152	76	425
153	77	424
154	77	424
155	78	423
156	78	423
157	79	422
158	79	422
159	80	421
160	80	420
161	81	420
162	81	419
163	82	419
164	82	419
165	83	418
166	83	418
167	84	417
168	84	417
169	85	417
170	85	416
171	86	417
172	87	417
173	87	417
174	88	416
175	88	416
176	89	416
177	90	415
178	90	415
179	91	415
180	91	414
181	92	414
182	92	413
183	93	413
184	93	413
185	94	412
186	94	412
187	95	411
188	95	411
189	96	410
190	96	410
191	97	410
192	98	409
193	98	409
194	99	409
195	99	408
196	100	408
197	100	407
198	101	407
199	101	407
200	102	406
201	102	406
202	103	405
203	103	405
204	104	405
205	104	404
206	105	404
207	106	403
208	106	403
209	107	403
210	107	402
211	108	402
212	108	401
213	109	401
214	109	400
215	110	400
216	110	400
217	111	399
218	111	398
219	112	398
220	112	398
221	113	397
222	114	397
223	114	397
224	115	396
225	115	396
226	116	395
227	116	395
228	117	394
229	117	394
230	118	393
231	118	393
232	119	392
233	119	392
234	120	391
235	120	390
236	121	390
237	121	389
238	122	389
239	122	388
240	123	387
241	123	387
242	124	386
243	124	386
244	125	385
245	125	385
246	126	384
247	126	383
248	127	383
249	127	382
250	128	382
251	128	382
252	129	381
253	129	381
254	130	380
255	130	380
256	131	379
257	131	379
258	132	378
259	132	378
260	133	377
261	133	377
262	134	376
263	134	376
264	135	375
265	135	374
266	136	374
267	136	373
268	137	373
269	137	372
270	138	372
271	138	371
272	139	371
273	139	370
274	140	369
275	140	369
276	141	368
277	141	368
278	142	367
279	142	367
280	143	367
281	144	366
282	144	366
283	145	365
284	145	365
285	146	364
286	146	364
287	147	363
288	147	363
289	148	362
290	148	362
291	149	361
292	149	361
293	150	360
294	150	360
295	151	359
296	151	359
297	152	358
298	152	358
299	153	357
300	153	357
301	154	357
302	155	356
303	155	356
304	156	355
305	156	355
306	157	355
307	157	354
308	158	354
309	158	353
310	159	353
311	159	352
312	160	352
313	161	351
314	161	351
315	162	350
316	162	350
317	163	349
318	163	349
319	164	348
320	164	348
321	165	347
322	165	347
323	166	346
324	166	346
325	167	345
326	167	345
327	168	344
328	168	344
329	169	343
330	169	343
331	170	342
332	170	342
333	171	341
334	172	341
335	172	341
336	173	340
337	173	340
338	174	339
339	174	339
340	175	338
341	175	338
342	176	337
343	176	337
344	177	336
345	178	336
346	178	336
347	179	335
348	179	334
349	180	334
350	180	334
351	181	333
352	181	333
353	182	332
354	182	332
355	183	331
356	183	331
357	184	330
358	184	330
359	185	329
360	185	329
361	186	328
362	186	328
363	187	327
364	188	327
365	188	326
366	189	326
367	189	325
368	190	325
369	190	324
370	191	324
371	191	323
372	192	322
373	192	322
374	193	321
375	193	321
376	194	320
377	194	320
378	195	319
379	195	319
380	196	318
381	196	318
382	197	317
383	197	316
384	198	316
385	198	315
386	199	315
387	199	314
388	200	314
389	200	313
390	201	313
391	201	312
392	202	312
393	202	311
394	203	310
395	203	310
396	203	309
397	204	309
398	204	308
399	205	308
400	205	307
401	206	307
402	206	306
403	207	306
404	207	305
405	208	304
406	208	304
407	209	303
408	209	303
409	210	302
410	210	302
411	211	301
412	211	301
413	212	300
414	212	300
415	213	299
416	213	298
417	214	298
418	214	297
419	215	297
420	215	296
421	216	296
422	216	295
423	217	295
424	217	294
425	218	294
426	218	293
427	219	293
428	219	292
429	220	292
430	220	291
431	221	291
432	221	290
433	222	290
434	222	289
435	223	288
436	223	288
437	224	288
438	224	287
439	225	286
440	225	286
441	226	285
442	227	285
443	227	284
444	228	284
445	228	283
446	229	283
447	229	282
448	230	282
449	230	281
450	231	281
451	231	280
452	232	280
453	232	279
454	233	279
455	233	278
456	234	278
457	234	277
458	235	277
459	235	276
460	236	276
461	236	275
462	237	275
463	237	274
464	238	273
465	238	273
466	239	272
467	239	272
468	240	271
469	240	271
470	241	270
471	241	270
472	242	269
473	242	269
474	243	268
475	243	268
476	244	267
477	244	267
478	245	266
479	245	266
480	246	265
481	246	265
482	247	264
483	247	264
484	248	263
485	248	263
486	249	262
487	249	262
488	250	261
489	250	261
490	251	260
491	251	260
492	252	259
493	252	259
494	253	258
495	253	257
496	254	257
497	254	257
498	255	256
499	256	256
500	256	255
501	257	255
502	257	254
503	258	254
504	258	253
505	259	253
506	259	252
507	260	252
508	260	251
509	261	251
510	261	250
511	262	250
512	262	249
513	263	249
514	263	248
515	264	248
516	264	247
517	265	247
518	266	246
519	266	246
520	267	245
521	267	245
522	268	244
523	268	244
524	269	243
525	270	243
526	270	242
527	271	242
528	271	241
529	272	241
530	272	240
531	273	240
532	273	239
533	274	239
534	274	238
535	275	238
536	275	237
537	276	237
538	276	236
539	277	236
540	278	235
541	278	235
542	279	234
543	279	234
544	280	233
545	280	233
546	281	232
547	281	232
548	282	231
549	282	231
550	283	230
551	283	230
552	284	229
553	284	229
554	285	228
555	285	228
556	286	227
557	286	227
558	287	226
559	287	226
560	288	225
561	289	225
562	289	224
563	290	224
564	290	223
565	291	223
566	291	222
567	292	222
568	292	221
569	293	221
570	293	220
571	294	220
572	294	219
573	295	219
574	295	218
575	296	218
576	296	217
577	297	217
578	297	216
579	298	216
580	298	215
581	299	215
582	300	214
583	300	214
584	301	213
585	301	213
586	302	212
587	302	212
588	303	211
589	303	211
590	304	210
591	304	209
592	305	209
593	305	208
594	306	208
595	306	207
596	307	207
597	307	206
598	308	206
599	308	205
600	309	205
601	309	204
602	310	204
603	310	203
604	311	203
605	311	202
606	312	202
607	312	201
608	313	201
609	313	200
610	314	200
611	314	199
612	315	199
613	315	198
614	316	197
615	316	197
616	317	196
617	317	196
618	318	195
619	318	195
620	319	194
621	319	194
622	320	193
