iter	Passed	Remaining
0	0	939
1	1	805
2	2	818
3	3	748
4	3	708
5	4	680
6	4	662
7	5	647
8	5	635
9	6	625
10	6	628
11	7	624
12	8	619
13	8	614
14	9	609
15	9	604
16	10	601
17	10	596
18	11	593
19	12	590
20	12	588
21	13	593
22	13	591
23	14	595
24	15	593
25	15	590
26	16	586
27	16	584
28	17	582
29	17	579
30	18	577
31	19	577
32	19	576
33	20	575
34	20	574
35	21	572
36	21	570
37	22	570
38	23	568
39	23	566
40	24	566
41	24	568
42	25	568
43	26	567
44	26	565
45	27	564
46	27	563
47	28	562
48	28	561
49	29	560
50	30	559
51	30	558
52	31	557
53	31	556
54	32	555
55	32	555
56	33	553
57	34	552
58	34	552
59	35	552
60	35	551
61	36	550
62	37	550
63	37	552
64	38	551
65	38	550
66	39	549
67	39	547
68	40	546
69	41	545
70	41	546
71	42	546
72	43	546
73	43	546
74	44	545
75	44	544
76	45	543
77	45	542
78	46	541
79	47	540
80	47	539
81	48	539
82	48	535
83	49	535
84	49	534
85	50	534
86	50	533
87	51	532
88	51	531
89	52	530
90	53	529
91	53	528
92	54	527
93	54	530
94	55	529
95	56	528
96	56	528
97	57	527
98	57	526
99	58	526
100	59	526
101	59	525
102	60	524
103	60	524
104	61	524
105	62	523
106	62	522
107	63	521
108	63	520
109	64	519
110	64	519
111	65	518
112	65	517
113	66	516
114	67	515
115	67	514
116	67	513
117	68	512
118	69	511
119	69	511
120	70	509
121	70	508
122	71	507
123	71	506
124	72	505
125	72	504
126	73	503
127	73	502
128	74	502
129	74	501
130	75	499
131	75	499
132	76	497
133	76	496
134	77	496
135	77	495
136	78	494
137	79	493
138	79	493
139	80	492
140	80	491
141	81	489
142	81	488
143	82	488
144	82	488
145	83	487
146	83	487
147	84	487
148	85	487
149	85	486
150	86	486
151	87	485
152	87	484
153	88	483
154	88	483
155	89	482
156	89	481
157	90	481
158	90	481
159	91	480
160	92	479
161	93	484
162	94	484
163	94	483
164	95	483
165	96	482
166	96	482
167	97	481
168	97	481
169	98	480
170	99	480
171	99	479
172	100	479
173	100	478
174	101	477
175	102	477
176	102	476
177	103	476
178	103	475
179	104	475
180	104	474
181	105	473
182	105	472
183	106	472
184	106	471
185	108	475
186	109	476
187	110	475
188	110	475
189	111	474
190	111	473
191	112	472
192	112	471
193	113	471
194	114	470
195	114	470
196	115	469
197	115	468
198	116	467
199	116	467
200	117	466
201	117	465
202	118	464
203	118	463
204	119	463
205	120	463
206	121	464
207	121	464
208	122	463
209	123	463
210	124	464
211	124	463
212	125	463
213	126	463
214	126	462
215	127	462
216	128	463
217	129	463
218	129	462
219	130	462
220	131	461
221	131	461
222	132	460
223	133	460
224	133	460
225	134	459
226	134	459
227	135	458
228	135	457
229	136	457
230	137	456
231	137	455
232	138	455
233	138	454
234	139	453
235	139	453
236	140	452
237	140	451
238	141	450
239	141	449
240	142	448
241	142	447
242	143	447
243	144	446
244	144	445
245	145	445
246	145	444
247	146	443
248	146	443
249	147	442
250	148	441
251	148	441
252	149	440
253	149	440
254	150	439
255	151	438
256	151	438
257	152	437
258	152	436
259	153	436
260	153	435
261	154	434
262	154	433
263	155	433
264	156	432
265	156	431
266	157	431
267	157	430
268	158	429
269	158	428
270	159	428
271	159	427
272	160	426
273	160	426
274	161	425
275	162	424
276	162	424
277	163	423
278	163	422
279	164	422
280	164	421
281	165	420
282	165	419
283	166	418
284	166	417
285	167	417
286	167	416
287	168	415
288	168	415
289	169	414
290	169	413
291	170	412
292	170	411
293	171	411
294	171	410
295	172	409
296	172	408
297	173	408
298	174	408
299	174	407
300	175	406
301	175	405
302	176	405
303	176	404
304	177	403
305	177	402
306	178	401
307	178	401
308	179	400
309	179	399
310	180	399
311	180	398
312	181	397
313	181	396
314	182	396
315	182	395
316	183	394
317	183	393
318	184	393
319	184	392
320	185	391
321	185	391
322	186	390
323	186	389
324	187	389
325	188	388
326	188	388
327	189	387
328	189	386
329	190	386
330	190	385
331	191	384
332	191	384
333	192	383
334	192	382
335	193	382
336	193	381
337	194	380
338	194	379
339	195	379
340	195	378
341	196	377
342	196	377
343	197	376
344	197	375
345	198	375
346	198	374
347	199	373
348	199	372
349	200	372
350	201	372
351	201	371
352	202	370
353	202	370
354	203	369
355	203	368
356	204	368
357	204	367
358	205	366
359	206	366
360	206	365
361	207	364
362	207	364
363	208	363
364	208	363
365	209	362
366	210	362
367	210	361
368	211	361
369	211	360
370	212	359
371	212	359
372	213	358
373	213	357
374	214	357
375	214	356
376	215	356
377	216	355
378	216	355
379	217	354
380	217	353
381	218	353
382	218	352
383	219	352
384	219	351
385	220	350
386	221	350
387	221	349
388	222	348
389	222	348
390	223	347
391	223	346
392	224	346
393	224	345
394	225	344
395	225	344
396	226	343
397	226	342
398	227	342
399	227	341
400	228	341
401	228	340
402	229	339
403	229	339
404	230	338
405	230	337
406	231	337
407	231	336
408	232	335
409	233	335
410	233	334
411	234	334
412	234	333
413	235	332
414	235	332
415	236	331
416	236	330
417	237	330
418	237	329
419	238	328
420	238	328
421	239	327
422	239	327
423	240	326
424	240	325
425	241	325
426	241	324
427	242	324
428	243	323
429	243	322
430	244	322
431	244	321
432	245	320
433	245	320
434	246	319
435	246	319
